node_id,video_id,title,views,likes,comments,timestamp,category_id,category_name,source_type
0,rpF7dBUR1FE,쌩판 처음 보는 200 아비터 러쉬를 보자마자 이성을 잃어버린 상대ㅋㅋㅋㅋ,131020,1576,141,1746890160,20,Gaming,게임인기
1,wgNGJJX5EaU,상대가 땅을 밟지도 못하는 역대급 웃음벨 그라가스,168891,944,112,1746890160,20,Gaming,게임인기
2,pLnBXEuRjbE,매일 입이 터질락말락 | 먹방브이로그 | 시호쿠키 초콜릿 마시멜로우 젤리 두끼 짜장면 크리미 등 운동도 안하고 먹은 나날들..,6753,119,26,1746890161,22,Unknown,키워드:먹방
3,N-_8Thba6V4,봄동비빔밥 ★ 제육볶음 & 된장찌개 먹방! Bomdong Bibimbap! Stir-fried Pork & Soybean Paste Stew,12148,0,7,1746890161,24,Unknown,키워드:먹방
4,bdaQQ26Ogz4,LIVE【학원마스】하츠보시 커뮤 최종장 피날레 업데이트(25.05.09),90,6,1,1746890162,20,Gaming,키워드:학원
5,mRLoGYZ-yzA,[원도어 브이로그] 보넥도 비공굿 5n어치 발주하고 ㄹㅈㄷ 포장 노동 | 보이넥스트도어 | 보넥도 | 포카 | 포카정리 | 덕질로그 | 멍프 |,375,28,5,1746890163,22,Unknown,키워드:브이로그
6,1rsm9MuS4i4,"플2 37랭크 [ 거리의악마,사이퍼,벡소테크 ]",6,1,4,1746890164,20,Gaming,키워드:테크
7,PnNjj22cPrU,"[시공테크 주가전망] 💥단독💥 한덕수 재선출, 국힘은 결국 김문수를 손절했다?! 최종후보 가능성이 유력한 상황, 다음주 월요일 상한가는 따논 당상?",168,13,0,1746890164,22,Unknown,키워드:테크
8,FwkjnygLDf4,#초신성의 웅비 #신성델타테크 인생주식 #아이씨티케이 #시지메드텍 #CJ ENM # 넥슨게임즈 #아센디오 #다보링크 #이수스페셜티 #레이크머티리얼 #씨아이에스 #바른손 #KG모빌,2175,162,0,1746890164,24,Unknown,키워드:테크
9,bI6mb4YRcXc,빅테크의 시대는 끝났다. 경제 위기 속 비트코인 쓸어담는 국가들의 행방은?,2811,319,11,1746890164,27,Unknown,키워드:테크
10,nJJm6NxGGdU,"(해외반응) 한국은 진짜, 진짜 무서운 국가, 한국 강할 수 밖에 없다. 공영방송국 영상에 전세계 충격.. 외국인반응 일본반응 외국반응 세계반응",15,2,0,1746890165,22,Unknown,키워드:해외반응
11,4Urc9zfxMI0,[중국반응] 영화 같은 실화가 끊이지 않는 최근 중국의 사건사고들 | 휴튜브TV,48158,551,32,1746890165,24,Unknown,키워드:해외반응
12,ubb-VH1rczA,"""미국인들 대동단결ㅋㅋㅋ"" 캣츠아이 Gnarly 해외반응 & 가사해석 | KATSEYE",9167,304,46,1746890165,24,Unknown,키워드:해외반응
13,cNiOhh9EXnc,"한국 애니 끝나고 미국 극장에 눈물바다 펼쳐졌다, 美관객들 기립박수, ‘킹오브킹스’에 울었다! 킹오브킹스 해외반응, 킹오브킹스 실제외국반응",17835,500,41,1746890165,24,Unknown,키워드:해외반응
14,gGGk5medv0I,“한글이 왜 훌륭한지 알아요?” 초대형 한글열풍에 경악한 해외반응,22045,958,24,1746890165,25,News & Politics,키워드:해외반응
15,esjpIZHqHBE,"""대체 너네가 왜 난리가 난거야?"" 방영된지 10년도 더 지난 한국 드라마, 외국인들이 시즌2 내놓으라 난리난 이유 I 해외반응 한류",16275,340,20,1746890165,25,News & Politics,키워드:해외반응
16,MMWcWUS4XFg,진격거 3기 3화 part 2/2 해외반응 어려운 왕정 스토리 복잡하다.. #애니 #진격거 #진격의거인,31,0,0,1746890165,1,Unknown,키워드:해외반응
17,dvah7L_tXkw,아이오닉9 해외 반응 댓글 같이보기 #자동차 #현대 #아이오닉 #아이오닉9 #전기차,60,4,1,1746890165,2,Unknown,키워드:해외반응
18,3DKtSKhYSNI,[해외반응] 입으로 모든 악기 소리를 낸다고? 믿지 못하는 해외 유튜버들 모음 | 비트펠라하우스 Candy thief,174890,3125,160,1746890165,24,Unknown,키워드:해외반응
19,whOCVcl7twI,"[시공테크 주가전망] *긴급* 시간외 '급등', N자형 상승 파동 본격 시작!! 한덕수 대선후보 '교체'. 월요일 '쩜상'도 가능한 재료 터졌습니다!",109,9,0,1746900005,27,Unknown,키워드:테크
20,4rdDFL4MlWs,"[신성델타테크 주가전망] 특허등록 임박!""이 때"" 무조건 터진다! 2차전지,로봇 수혜까지! ""이 가격"" 전재산 몰빵💥#신성델타테크분석 #신성델타테크주가 #신성델타테크목표가",489,49,1,1746900005,26,Unknown,키워드:테크
21,br6LH1PvoBY,#신성델타테크 ] 속보 5월12일 대비 주말 영상 LK-99 유럽 승인 준비하세요 일본특허청 터질때 됐다! #신성델타테크주가전망 #신성델타테크주가 #신성델타테크목표가,266,29,5,1746900005,26,Unknown,키워드:테크
22,PdX6xcCJYAA,맛 · 영양 딱 맞게…노년 건강 돕는 '푸드 테크' / SBS,1675,12,4,1746900005,25,News & Politics,키워드:테크
23,sxnnqrmpkk4,"[한덕수 관련주(시공테크, 대한제당, 아이스크림에듀) 주가 전망] 한덕수 대선 후보 확정!!! 월요일 쩜상 갑니다 !! 주주님들 축하드립니다 ! 앞으로의 대응 꼭 시청하세요",777,22,0,1746900005,27,Unknown,키워드:테크
24,I2KLtL8SvvQ,[신성델타테크] [속보] 5월 10일 주말 '특별영상'!! 아직 제대로 시작도 안했습니다!! 무조건 이 가격까지 올라갑니다!! 이 영상은 꼭 보세요!! #박부장,180,25,0,1746900005,28,Unknown,키워드:테크
25,sapfpSH0UUI,"[한덕수 관련주(시공테크, 대한제당, 아이스크림에듀) 주가 전망] 국민의힘 대선후보 확정 시간외 폭등! 월요일 무조건 이렇게 하세요 이번 타점 놓치면 기회없습니다",313,15,0,1746900005,27,Unknown,키워드:테크
