node_id,tgn_memory,gt_embedding,scn_embedding
0,"[ 0.0778949  -0.10706649 -0.0266198   0.17558405 -0.01610696 -0.04109462
 -0.16913228  0.01071068]","[ 1.191724   -0.98945016  0.12735212  1.4058203  -0.41483065 -0.03013583
 -1.7859588   0.49547935]","[-0.31269914 -0.17358267 -0.07443361 -0.5265387  -1.552511    0.09829913
 -0.20607966 -0.71479326]"
1,"[ 0.07790338 -0.10704737 -0.02662895  0.17558117 -0.01610728 -0.04107884
 -0.16913362  0.01070733]","[ 1.1917686  -0.9893138   0.12722537  1.4058179  -0.41487122 -0.03006492
 -1.7860144   0.49545255]","[-0.31270605 -0.1735779  -0.0744289  -0.5265364  -1.5525097   0.0983047
 -0.2060787  -0.7147899 ]"
2,"[ 0.0779256  -0.10702631 -0.02666     0.175586   -0.01609086 -0.0410553
 -0.16915768  0.0106847 ]","[ 1.1918621  -0.9890695   0.12689278  1.4058709  -0.4147535  -0.02988129
 -1.7861594   0.49523804]","[-0.31272152 -0.17356339 -0.07441668 -0.5265317  -1.5525048   0.09832382
 -0.20607801 -0.71478087]"
3,"[ 0.07792334 -0.10703081 -0.0266579   0.17558706 -0.01609137 -0.04105829
 -0.16915758  0.01068494]","[ 1.1918494  -0.9891006   0.12692213  1.4058756  -0.4147492  -0.02989195
 -1.7861454   0.4952402 ]","[-0.3127201  -0.17356443 -0.07441781 -0.52653205 -1.5525051   0.09832267
 -0.20607816 -0.7147818 ]"
4,"[ 0.07792546 -0.10702743 -0.02666065  0.17558709 -0.0160907  -0.04105496
 -0.16915908  0.01068319]","[ 1.1918586  -0.989071    0.12688935  1.4058793  -0.41474906 -0.02987206
 -1.7861595   0.4952246 ]","[-0.31272173 -0.17356303 -0.07441656 -0.52653146 -1.5525045   0.09832438
 -0.20607798 -0.71478087]"
5,"[ 0.07792564 -0.10702697 -0.02666073  0.17558686 -0.01609068 -0.04105477
 -0.16915895  0.01068333]","[ 1.1918602  -0.98906845  0.12688765  1.4058777  -0.41474995 -0.02987213
 -1.7861606   0.49522588]","[-0.31272185 -0.17356294 -0.0744165  -0.52653146 -1.5525047   0.09832439
 -0.206078   -0.71478087]"
6,"[ 0.07792572 -0.10702711 -0.02666088  0.17558698 -0.01609049 -0.04105486
 -0.16915913  0.0106832 ]","[ 1.1918603  -0.9890687   0.12688649  1.4058784  -0.4147478  -0.02987205
 -1.7861611   0.4952244 ]","[-0.31272176 -0.17356294 -0.07441647 -0.52653146 -1.5525045   0.09832454
 -0.20607798 -0.71478087]"
7,"[ 0.07792535 -0.10702752 -0.02666054  0.1755871  -0.0160908  -0.04105499
 -0.16915902  0.01068322]","[ 1.1918582  -0.98907185  0.12689047  1.4058793  -0.4147499  -0.02987217
 -1.7861589   0.49522477]","[-0.3127217  -0.1735631  -0.07441659 -0.5265314  -1.5525045   0.09832433
 -0.206078   -0.714781  ]"
8,"[ 0.07792447 -0.10702741 -0.02665944  0.17558691 -0.01609218 -0.04105473
 -0.16915786  0.0106839 ]","[ 1.1918542  -0.9890758   0.12690039  1.4058793  -0.41476306 -0.02987344
 -1.7861538   0.49523252]","[-0.3127215  -0.17356348 -0.07441692 -0.52653134 -1.5525049   0.09832382
 -0.20607783 -0.71478134]"
9,"[ 0.07792471 -0.10702559 -0.02665932  0.17558621 -0.01609293 -0.04105359
 -0.16915691  0.01068453]","[ 1.1918569  -0.9890674   0.12689741  1.4058756  -0.41477394 -0.02987233
 -1.7861553   0.49523905]","[-0.3127218  -0.17356345 -0.0744168  -0.5265312  -1.5525049   0.09832363
 -0.2060778  -0.7147812 ]"
10,"[ 0.07792541 -0.10702755 -0.02666061  0.17558713 -0.01609071 -0.04105501
 -0.1691591   0.01068316]","[ 1.1918585  -0.98907185  0.12688985  1.4058795  -0.41474897 -0.02987202
 -1.7861593   0.49522427]","[-0.31272164 -0.17356306 -0.07441659 -0.52653146 -1.5525047   0.0983244
 -0.20607795 -0.7147809 ]"
11,"[ 0.07791588 -0.10703715 -0.02664788  0.17558579 -0.01609761 -0.0410647
 -0.16914979  0.01069176]","[ 1.1918168  -0.9891761   0.1270284   1.4058626  -0.4147966  -0.02994352
 -1.7860978   0.49530634]","[-0.31271535 -0.17356896 -0.07442166 -0.52653325 -1.5525067   0.09831667
 -0.20607819 -0.71478486]"
12,"[ 0.07792608 -0.10702395 -0.02665986  0.17558493 -0.01609151 -0.04105419
 -0.16915642  0.01068573]","[ 1.1918665  -0.9890586   0.12688889  1.4058647  -0.41476476 -0.02988267
 -1.786162    0.49524805]","[-0.3127217  -0.17356345 -0.07441662 -0.5265317  -1.5525048   0.09832361
 -0.20607798 -0.71478075]"
13,"[ 0.07792324 -0.10702634 -0.02665654  0.17558496 -0.0160941  -0.04105578
 -0.16915408  0.01068744]","[ 1.1918529  -0.9890846   0.12692472  1.4058647  -0.41478458 -0.0298943
 -1.7861447   0.49526578]","[-0.31272036 -0.17356488 -0.07441787 -0.5265319  -1.5525055   0.0983218
 -0.20607786 -0.7147819 ]"
14,"[ 0.07791966 -0.1070272  -0.02665261  0.17558497 -0.01609907 -0.04105506
 -0.1691507   0.01068909]","[ 1.1918349  -0.9891037   0.12696286  1.4058685  -0.41482908 -0.02989522
 -1.7861241   0.49528584]","[-0.3127194  -0.17356634 -0.0744191  -0.5265316  -1.5525061   0.09831978
 -0.20607749 -0.7147833 ]"
15,"[ 0.07792244 -0.10702897 -0.02665629  0.17558604 -0.01609378 -0.04105705
 -0.1691551   0.01068657]","[ 1.1918468  -0.9890982   0.12693296  1.4058712  -0.41477585 -0.029894
 -1.7861401   0.4952575 ]","[-0.31271982 -0.17356497 -0.0744182  -0.52653193 -1.5525054   0.0983218
 -0.20607795 -0.7147822 ]"
16,"[ 0.07792541 -0.10702756 -0.02666062  0.17558715 -0.01609069 -0.04105502
 -0.16915911  0.01068316]","[ 1.1918584  -0.9890718   0.12688985  1.4058796  -0.4147487  -0.02987196
 -1.7861593   0.4952242 ]","[-0.31272164 -0.17356306 -0.07441659 -0.52653146 -1.5525047   0.0983244
 -0.20607795 -0.7147809 ]"
17,"[ 0.07792547 -0.10702743 -0.02666066  0.17558709 -0.01609068 -0.04105496
 -0.16915911  0.01068318]","[ 1.1918588  -0.98907083  0.12688918  1.4058791  -0.41474882 -0.02987206
 -1.7861595   0.49522442]","[-0.31272167 -0.173563   -0.07441659 -0.52653146 -1.5525047   0.0983244
 -0.20607795 -0.7147809 ]"
18,"[ 0.0778908  -0.10705175 -0.02661262  0.17557864 -0.01612258 -0.04108206
 -0.16911876  0.01071788]","[ 1.1917131  -0.9894045   0.12738554  1.4058049  -0.4150077  -0.03011593
 -1.7859373   0.49556217]","[-0.31270054 -0.17358476 -0.07443447 -0.5265367  -1.5525123   0.09829543
 -0.20607801 -0.714795  ]"
19,"[ 0.07786154 -0.1071725  -0.02665249  0.17567688 -0.01611765 -0.04106737
 -0.16923201  0.01059275]","[ 1.1913432  -0.9897337   0.12728412  1.4065343  -0.41466174 -0.02937796
 -1.785836    0.49444798]","[-0.3127248  -0.1736424  -0.07428254 -0.5268587  -1.5525308   0.09808767
 -0.20614658 -0.7143817 ]"
20,"[ 0.0778617  -0.10717225 -0.02665262  0.1756768  -0.01611755 -0.04106727
 -0.169232    0.01059278]","[ 1.1913441  -0.9897324   0.12728241  1.406534   -0.41466153 -0.02937798
 -1.7858368   0.49444836]","[-0.3127248  -0.17364234 -0.07428251 -0.5268587  -1.5525308   0.09808771
 -0.20614655 -0.71438164]"
21,"[ 0.07786155 -0.10717256 -0.02665245  0.17567684 -0.01611757 -0.04106753
 -0.16923194  0.01059286]","[ 1.1913434  -0.98973453  0.12728466  1.4065336  -0.41466102 -0.02937913
 -1.7858357   0.4944489 ]","[-0.31272477 -0.17364243 -0.07428254 -0.5268588  -1.5525308   0.09808767
 -0.20614658 -0.71438175]"
22,"[ 0.07786151 -0.10717243 -0.02665244  0.17567685 -0.01611774 -0.04106732
 -0.1692319   0.01059281]","[ 1.1913432  -0.9897338   0.12728453  1.4065342  -0.41466284 -0.02937805
 -1.7858355   0.4944486 ]","[-0.31272483 -0.17364243 -0.07428251 -0.5268587  -1.5525308   0.09808764
 -0.20614657 -0.71438175]"
23,"[ 0.07786156 -0.10717251 -0.02665252  0.1756769  -0.01611759 -0.0410674
 -0.16923204  0.01059273]","[ 1.1913433  -0.9897337   0.12728389  1.4065344  -0.41466123 -0.02937808
 -1.7858361   0.49444777]","[-0.3127248  -0.1736424  -0.07428254 -0.5268587  -1.5525308   0.09808767
 -0.20614658 -0.7143817 ]"
24,"[ 0.07786153 -0.10717254 -0.02665249  0.1756769  -0.01611762 -0.04106741
 -0.16923203  0.01059275]","[ 1.1913431  -0.98973405  0.12728421  1.4065343  -0.4146614  -0.02937814
 -1.7858359   0.4944479 ]","[-0.31272483 -0.17364243 -0.07428251 -0.5268587  -1.5525308   0.09808761
 -0.2061466  -0.7143817 ]"
25,"[ 0.07786147 -0.10717259 -0.02665242  0.1756769  -0.01611767 -0.04106745
 -0.16923197  0.01059279]","[ 1.191343   -0.9897346   0.12728494  1.4065344  -0.41466185 -0.02937853
 -1.7858356   0.49444833]","[-0.3127248  -0.17364243 -0.07428254 -0.52685875 -1.5525308   0.09808767
 -0.20614658 -0.71438175]"
26,"[ 0.07786153 -0.10717259 -0.02665249  0.17567691 -0.01611758 -0.04106747
 -0.16923204  0.01059275]","[ 1.1913431  -0.9897343   0.12728444  1.4065344  -0.41466087 -0.02937834
 -1.7858359   0.49444792]","[-0.31272483 -0.17364243 -0.07428251 -0.5268587  -1.5525308   0.09808761
 -0.2061466  -0.7143817 ]"
27,"[ 0.07786115 -0.10717241 -0.02665201  0.1756768  -0.01611827 -0.04106723
 -0.16923146  0.01059305]","[ 1.1913415  -0.9897356   0.12728837  1.4065343  -0.4146679  -0.02937849
 -1.7858334   0.49445137]","[-0.3127248  -0.17364252 -0.0742826  -0.5268587  -1.5525308   0.09808752
 -0.20614652 -0.7143818 ]"
28,"[ 0.07786152 -0.1071725  -0.02665247  0.17567688 -0.01611768 -0.04106737
 -0.16923198  0.01059277]","[ 1.1913431  -0.9897338   0.12728432  1.4065344  -0.41466218 -0.0293781
 -1.7858359   0.49444807]","[-0.31272486 -0.17364243 -0.07428251 -0.5268587  -1.5525308   0.09808761
 -0.2061466  -0.71438175]"
29,"[ 0.07786336 -0.10716969 -0.02665374  0.17567565 -0.0161164  -0.04106664
 -0.16923179  0.0105934 ]","[ 1.1913548  -0.98971593  0.12726651  1.4065254  -0.41465637 -0.02938065
 -1.7858461   0.4944527 ]","[-0.31272513 -0.17364219 -0.07428227 -0.5268588  -1.5525305   0.09808788
 -0.2061466  -0.7143814 ]"
